"","markov_cycle",".strategy_names","value_names","value","id"
"3.87",21,"I","utility",373.703885624225,"3.87"
"3.88",22,"I","utility",359.572207086405,"3.88"
"3.89",23,"I","utility",345.846285817211,"3.89"
"3.90",24,"I","utility",332.475674969069,"3.90"
"3.91",25,"I","utility",319.487147260845,"3.91"
"3.92",26,"I","utility",306.827095994565,"3.92"
"3.93",27,"I","utility",294.471686048157,"3.93"
"3.94",28,"I","utility",282.453296387481,"3.94"
"3.95",29,"I","utility",270.73953988848,"3.95"
"3.96",30,"I","utility",259.31745326725,"3.96"
"3.97",31,"I","utility",241.985424572986,"3.97"
"3.98",32,"I","utility",231.406236519699,"3.98"
"3.99",33,"I","utility",221.154046516875,"3.99"
"3.100",34,"I","utility",211.105143103764,"3.100"
"3.101",35,"I","utility",201.24865539393,"3.101"
"3.102",36,"I","utility",191.562221941034,"3.102"
"3.103",37,"I","utility",182.059913550576,"3.103"
"3.104",38,"I","utility",172.731051944989,"3.104"
"3.105",39,"I","utility",163.465777836671,"3.105"
"3.106",40,"I","utility",154.350367004151,"3.106"
"3.107",41,"I","utility",136.025713471641,"3.107"
"3.108",42,"I","utility",127.768618248884,"3.108"
"3.109",43,"I","utility",119.64357635061,"3.109"
"3.110",44,"I","utility",111.665723872449,"3.110"
"3.111",45,"I","utility",103.797546557283,"3.111"
"3.112",46,"I","utility",96.0241813738993,"3.112"
"3.113",47,"I","utility",88.2704450423982,"3.113"
"3.114",48,"I","utility",80.6677030453482,"3.114"
"3.115",49,"I","utility",73.134583541742,"3.115"
"3.116",50,"I","utility",65.7731251767739,"3.116"
"3.117",51,"I","utility",58.5873696596989,"3.117"
"3.118",52,"I","utility",51.6112376641188,"3.118"
"3.119",53,"I","utility",44.9629573100655,"3.119"
"3.120",54,"I","utility",38.6437344014221,"3.120"
"3.121",55,"I","utility",32.727846676415,"3.121"
"3.122",56,"I","utility",27.266399736341,"3.122"
"3.123",57,"I","utility",22.3041647463171,"3.123"
"3.124",58,"I","utility",17.9276925969147,"3.124"
"3.125",59,"I","utility",14.0669680260701,"3.125"
"3.126",60,"I","utility",10.7451487488774,"3.126"
"3.127",61,"I","utility",8.04083537248878,"3.127"
"3.128",62,"I","utility",5.86349804081553,"3.128"
"3.129",63,"I","utility",4.1841854348758,"3.129"
"3.130",64,"I","utility",2.88219998124693,"3.130"
"3.131",65,"I","utility",1.91306492383013,"3.131"
"3.132",66,"I","utility",1.23033978977431,"3.132"
"4.1",1,"I","cost",0,"4.1"
"4.2",2,"I","cost",1991.97941096119,"4.2"
"4.3",3,"I","cost",1919.54094845499,"4.3"
"4.4",4,"I","cost",1849.61731407046,"4.4"
"4.5",5,"I","cost",1782.13915810828,"4.5"
"4.6",6,"I","cost",1716.90600615389,"4.6"
"4.7",7,"I","cost",1653.95798958332,"4.7"
"4.8",8,"I","cost",1593.13269737285,"4.8"
"4.9",9,"I","cost",1534.43365044646,"4.9"
"4.10",10,"I","cost",1477.71593971812,"4.10"
"4.11",11,"I","cost",1422.97922708817,"4.11"
"4.12",12,"I","cost",1370.04472994381,"4.12"
"4.13",13,"I","cost",1318.88297242529,"4.13"
